repository,hypothesis_labels
Otutu11/Timeline-Forecasting,planning_decision;software_engineering;research_science;model_training_adaptation;domain_application
linuszz/business-strategy-planning-skills,planning_decision;agents_orchestration;domain_application
dave1010/ceo-bench,planning_decision;verification_evaluation;execution_automation
SwedbankAB/Swedbank,other_uncertain
bwerneckm/startup-skills,planning_decision;verification_evaluation;software_engineering;domain_application
skyf0xx/gambit,planning_decision;reasoning_inference;agents_orchestration;execution_automation;governance_safety;software_engineering;research_science;domain_application
missjaanii/Demand-Forecasting,planning_decision;governance_safety;software_engineering;interface_visualization;data_connectors_tools;domain_application
swannysec/strategic-planning-template,planning_decision
mashrur-rahman-fahim/StrategicDefenseOps,planning_decision;execution_automation;interface_visualization
blundergoat/ai-planning-playbook,planning_decision;prompt_optimization;software_engineering
mianihtisham99/Social-Media-Marketing,planning_decision;verification_evaluation;execution_automation;domain_application
MindMap-AI/awesome-entrepreneurship-mind-maps,planning_decision;interface_visualization;domain_application
agentralabs/agentic-planning,planning_decision;reasoning_inference;agents_orchestration;software_engineering
dungnotnull/Business-Corporate-Strategy-Advisor-agent-skill,planning_decision;agents_orchestration;verification_evaluation;memory_knowledge;execution_automation;research_science;data_connectors_tools;domain_application
harshmriduhash/AI_CO_FOUNDER,planning_decision;software_engineering;interface_visualization
Pomilon-Intelligence-Lab/CRSM,planning_decision;reasoning_inference;reliability_state
kaythaney/meta-program-planning,planning_decision
dungnotnull/strategic-board-games-mastery-advisor-agent-skill,planning_decision;agents_orchestration;software_engineering;research_science;interface_visualization
amitbad/ats-generator,planning_decision;agents_orchestration;verification_evaluation;execution_automation;governance_safety;data_connectors_tools
txy77/MCTS4ZSICL,planning_decision;memory_knowledge;software_engineering;model_training_adaptation
UniBridgeAI/um-mci,planning_decision;agents_orchestration;model_efficiency_inference
the-ankitpandey/2026-27_ANKITKUMARPANDEY_25SCS1003005606_III_2CSE10,planning_decision
elon00/Business-Handbook,planning_decision;interface_visualization;data_connectors_tools;domain_application
minamagdyyyy/agentic-marketing,planning_decision;agents_orchestration;execution_automation;software_engineering;domain_application
DummiFTW/Low-expenses-hacks-in-Power-to-the-People,planning_decision;model_efficiency_inference
Tyccommunication12/-Best-Brand-Management-Agency,planning_decision;verification_evaluation;interface_visualization;domain_application
snehilraj1124-ship-it/StrategyLab,planning_decision;research_science;domain_application
DeepakChauhan33/Meridian-Strategy-Engine-,planning_decision;agents_orchestration;verification_evaluation;research_science
vishakha2121/autonomous-enterprise-strategy-agent,planning_decision;agents_orchestration
juceliocoelho2022/innovationhub,verification_evaluation;execution_automation;interface_visualization;data_connectors_tools
microsoft/RD-Agent,agents_orchestration;execution_automation;software_engineering;research_science
dharanisri2107/Researchmind,agents_orchestration;verification_evaluation;execution_automation;software_engineering;research_science;interface_visualization
lobehub/awesome-rsi,agents_orchestration;verification_evaluation;execution_automation;governance_safety;research_science;interface_visualization
withvibe/withvibe,agents_orchestration;execution_automation;software_engineering
isaccanedo/RD-Agent,agents_orchestration;execution_automation;software_engineering;research_science;data_connectors_tools
Anastasios3/O.R.D.E.R.---Organized-Redistribution-and-Directory-Efficiency-Resource-beta-,execution_automation;software_engineering;data_connectors_tools
TimefoldAI/timefold-solver,planning_decision;reasoning_inference
optapy/optapy,planning_decision;reasoning_inference;model_training_adaptation
Forward-Future/relay,planning_decision;execution_automation;model_efficiency_inference
liruiw/OMG-Planner,planning_decision;model_training_adaptation;interface_visualization
DeepMyst/Mysti,agents_orchestration;software_engineering
AdieLaine/multi-agent-reasoning,reasoning_inference;agents_orchestration;prompt_optimization;model_efficiency_inference;data_connectors_tools
UditAkhourii/adhd,agents_orchestration;software_engineering;interface_visualization
ethanplusai/jarvis,software_engineering;interface_visualization;data_connectors_tools
nicepkg/auto-company,agents_orchestration;governance_safety;software_engineering
liuxiaopai-ai/ralph-desktop,planning_decision;agents_orchestration;execution_automation;software_engineering;interface_visualization
Gaurav-Gosain/gollama,data_connectors_tools
andrew-yangy/gru-ai,agents_orchestration;prompt_optimization;memory_knowledge;execution_automation;interface_visualization
aiksa2090/Agentic-Swarm,agents_orchestration;model_efficiency_inference;interface_visualization
shivangdoshi07/brainstormer,other_uncertain
spranab/brainstorm-mcp,data_connectors_tools
dusk-futile/idea-universe,prompt_optimization;research_science
hamidtech/Advanced-AI-Prompting-Guidelines-For-Research,prompt_optimization;research_science;interface_visualization
OttoPrua/Cardex,planning_decision;agents_orchestration;software_engineering;data_connectors_tools
nullpointexception-i/agent-sphere,planning_decision;agents_orchestration;execution_automation;interface_visualization;data_connectors_tools
eliranwong/computemate,planning_decision;agents_orchestration;execution_automation;data_connectors_tools
Aviral2642/AdversaryPilot,planning_decision;agents_orchestration
GregoryHo/arcforge,planning_decision;agents_orchestration;software_engineering;model_training_adaptation
siavash-debug/agentic-workflow-engine,planning_decision;agents_orchestration;execution_automation;software_engineering;interface_visualization;data_connectors_tools
abhimaiya3175/AI-Orchestrated-Headless-Composable-Application-Platform,planning_decision;agents_orchestration
sushaan-k/forgeplan,planning_decision;agents_orchestration
alrece/loop-engineering,planning_decision;agents_orchestration;verification_evaluation;execution_automation;interface_visualization;data_connectors_tools
dzylab/kronos,planning_decision;agents_orchestration;verification_evaluation;software_engineering
qwadratic/create-mvp,planning_decision;agents_orchestration;interface_visualization;data_connectors_tools
ShrohanMohapatra/matrix_multiply_quadratic,software_engineering
dougdotcon/TamesisTheoryCompleteResearchArchive,memory_knowledge;software_engineering;research_science
zjunlp/KnowAgent,planning_decision;agents_orchestration;memory_knowledge
orra-dev/orra,planning_decision;agents_orchestration;execution_automation
PlanExeOrg/PlanExe,planning_decision
aibasel/downward,planning_decision;software_engineering
SixHq/Overture,planning_decision;agents_orchestration;memory_knowledge;execution_automation;software_engineering;interface_visualization;data_connectors_tools
ExcitingSystems/DMPE,other_uncertain
seismael/aegis,execution_automation;governance_safety;software_engineering;data_connectors_tools
